stand_type,easting,northing,long,lat,stand_numbers,geom,stand_location
Sheffield Stand,318106.414,234502.185,-6.227255782056404,53.34779326636702,4,"53.34779326636702, -6.227255782056404","North Docklands, North Wall, North Dock B ED, Dublin, Dublin 1, Leinster, Éire / Ireland"
Sheffield Stand,315620.753,232932.916,-6.265133791780888,53.334248439303025,1,"53.334248439303025, -6.265133791780888","39, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 HH92, Éire / Ireland"
Sheffield Stand,316615.57,234148.652,-6.2497608135882246,53.344948684334575,2,"53.344948684334575, -6.2497608135882246","HSE Primary Care Centre, Mark's Lane, Mansion House A ED, Dublin, County Dublin, Leinster, D02 Y729, Éire / Ireland"
Sheffield Stand,316520.2,234543.281,-6.251046948776474,53.34851376066773,1,"53.34851376066773, -6.251046948776474","IFSC House, Custom House Quay, North Dock C ED, Dublin, County Dublin, Leinster, D02 ED70, Éire / Ireland"
Sheffield Stand,317119.98,233940.217,-6.242268049500275,53.342965466086866,3,"53.342965466086866, -6.242268049500275","Saint Andrew's Resource Centre, 114-116, Pearse Street, South Dock ED, Dublin, County Dublin, Leinster, D02 RK37, Éire / Ireland"
Sheffield Stand,315786.687,234487.924,-6.262076180033214,53.348177511686664,2,"53.348177511686664, -6.262076180033214","97, Middle Abbey Street, North City ED, Dublin, County Dublin, Leinster, D01 X8R2, Éire / Ireland"
Sheffield Stand,316463.739,234911.2,-6.251759096280343,53.35183038824942,3,"53.35183038824942, -6.251759096280343","Liberty Saints R.F.C, Foley Street, Mountjoy A ED, Dublin, County Dublin, Leinster, D01 E4H9, Éire / Ireland"
Sheffield Stand,315358.411,235444.966,-6.268155451509455,53.35686606014675,3,"53.35686606014675, -6.268155451509455","29, Blessington Street, Inns Quay B ED, Dublin, County Dublin, Leinster, D01 W2C9, Éire / Ireland"
Sheffield Stand,315618.97,235130.706,-6.264358773230771,53.35398689210302,4,"53.35398689210302, -6.264358773230771","WMS  0310, Parnell Square North, Rotunda B ED, Dublin, County Dublin, Leinster, D01 E7C1, Éire / Ireland"
Sheffield Stand,315774.891,233812.603,-6.262499929758751,53.34211513032229,2,"53.34211513032229, -6.262499929758751","Civic Museum, 58, William Street South, Royal Exchange B ED, Dublin, County Dublin, Leinster, D02 HW58, Éire / Ireland"
Sheffield Stand,315163.824,234737.276,-6.271333818825526,53.350552747298174,2,"53.350552747298174, -6.271333818825526","Jazz Take Away, North King Street, Inns Quay C ED, Dublin, County Dublin, Leinster, D07 PR5X, Éire / Ireland"
Sheffield Stand,316894.837,233032.088,-6.245981508860921,53.33485949428922,2,"53.33485949428922, -6.245981508860921","68, Baggot Street Lower, South Dock ED, Dublin, County Dublin, Leinster, D02 XW14, Éire / Ireland"
Railing,315767.401,233319.904,-6.262792253124854,53.337691904134196,5,"53.337691904134196, -6.262792253124854","Cuffe Street, Royal Exchange B ED, Dublin, Dublin 2, Leinster, D02 VH98, Éire / Ireland"
Sheffield Stand,316025.458,235133.756,-6.258256061753603,53.35392535318028,2,"53.35392535318028, -6.258256061753603","130, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 KT62, Éire / Ireland"
Sheffield Stand,315619.703,234795.672,-6.264470055271953,53.35097784041829,2,"53.35097784041829, -6.264470055271953","ILAC Centre, Henry Street, North City ED, Dublin, County Dublin, Leinster, D01 HW54, Éire / Ireland"
Sheffield Stand,315924.719,235075.225,-6.259789625227577,53.35342176469555,2,"53.35342176469555, -6.259789625227577","147 Deli, 147, Parnell Street, Rotunda A ED, Dublin, County Dublin, Leinster, D01 V9Y6, Éire / Ireland"
Sheffield Stand,315589.64,233161.236,-6.265517372123128,53.33630574442201,2,"53.33630574442201, -6.265517372123128","Peter Byrne, 91, Camden Street Lower, Saint Kevin's ED, Dublin, County Dublin, Leinster, D02 DH36, Éire / Ireland"
Sheffield Stand,315651.544,234011.802,-6.264278237033014,53.34393105893704,6,"53.34393105893704, -6.264278237033014","Dame House, 24-26, Dame Street, Royal Exchange A ED, Dublin, County Dublin, Leinster, D02 C861, Éire / Ireland"
