type_stands,X,Y,Easting,Northing,location_stand,no_stands
Sheffield Stand,-6.22726053,53.34779261,318106.414,234502.185,East wall road outside the O2,4
Sheffield Stand,-6.265138686,53.33424783,315620.753,232932.916,"Camden street lower, outside centra shop",1
Sheffield Stand,-6.249765605,53.34494805,316615.57,234148.652,Marks lane,2
Sheffield Stand,-6.251051724,53.34851312,316520.2,234543.281,"Custom House Quay, outside AIB International Centre",1
Sheffield Stand,-6.242272854,53.34296483,317119.98,233940.217,Pearce street outside garden area,3
Sheffield Stand,-6.262080967,53.34817688,315786.687,234487.924,"Middle abbey street, outside arnotts carpark",2
Sheffield Stand,-6.25176385,53.35182974,316463.739,234911.2,Foley street,3
Sheffield Stand,-6.268160194,53.35686542,315358.411,235444.966,Bloomington street outside Dargans pharmacy.,3
Sheffield Stand,-6.264363527,53.35398625,315618.97,235130.706,Parnell square north,4
Sheffield Stand,-6.262504756,53.34211451,315774.891,233812.603,"William street south, duke street gallery.",2
Sheffield Stand,-6.271338612,53.35055212,315163.824,234737.276,North king street,2
Sheffield Stand,-6.245986372,53.33485887,316894.837,233032.088,Maggot street lower outside Medmark healthcare ,2
Railing,-6.262797117,53.33769129,315767.401,233319.904,"Cuffe street, across from O'callaghan Stephen green hotel",5
Sheffield Stand,-6.25826081,53.35392471,316025.458,235133.756,Parnell street outside temple hall,2
Sheffield Stand,-6.264474839,53.3509772,315619.703,234795.672,Parnell street outside beauty chic,2
Sheffield Stand,-6.259794384,53.35342112,315924.719,235075.225,"Parnell street, outside 147 deli",2
Sheffield Stand,-6.265522242,53.33630513,315589.64,233161.236,"Wexford street, Infront of bank of ireland",2
Sheffield Stand,-6.264283061,53.34393043,315651.544,234011.802,"Bottom of George's street, beside the mercantile",6
Sheffield Stand,-6.252724081,53.33299531,316451.114,232813.702,Fitzwilliam Place,2
Sheffield Stand,-6.268814653,53.34846989,315337.504,234509.634,Capel street outside AIB bank,1
Railing,-6.250445545,53.341293,316580.261,233740.801,Merrion street lower,4
Railing,-6.258763075,53.33366002,316047.035,232877.843,Earlsfort Terrace,4
Sheffield Stand,-6.257420629,53.34867644,316095.659,234551.083,Abbey street lower near abbey street luas station,3
Sheffield Stand,-6.249542981,53.35221799,316610.552,234958.029,Amiens street under train tracks,3
Sheffield Stand,-6.259003133,53.35921696,315961.665,235721.484,North circular road outside carolans off licence,2
Sheffield Stand,-6.26837343,53.35274391,315355.344,234985.97,"Dorset Street Upper, outside Ritzy Rags Shop",2
Sheffield Stand,-6.252315044,53.35165203,316427.523,234890.525,Foley street,3
Sheffield Stand,-6.268642992,53.35275832,315337.357,234987.138,Dorset street upper outside techno logic ,2
Sheffield Stand,-6.261105984,53.35264945,315839.483,234987.223,Parnell street outside lomdis,2
Sheffield Stand,-6.257088035,53.35410392,316103.055,235155.605,Top of Parnell street opposite Londis,2
Sheffield Stand,-6.261493564,53.33916468,315850.231,233485.98,"St Stephens green Luas, in front of certus",5
Sheffield Stand,-6.254994571,53.34695679,316261.885,234363.663,Tara street,4
Sheffield Stand,-6.228922158,53.34845548,317993.936,234573.204,Mayor street upper beside the point luas station,6
Sheffield Stand,-6.258693337,53.35708473,315988.079,235484.708,Mountjoy square noeth,5
Sheffield Stand,-6.263477057,53.34307452,315707.538,233917.86,"Exchequer Street, outside Fallon Byrne ",1
Sheffield Stand,-6.267122179,53.34103437,315470.295,233684.928,"Stephens street upper, beside IBOA House",6
Sheffield Stand,-6.264492273,53.34339079,315639.072,233951.41,George's street great south outside Dublin business school,4
Sheffield Stand,-6.263179332,53.34308013,315727.351,233918.966,Exchequer street,2
Sheffield Stand,-6.266077459,53.3471065,315523.457,234362.337,Jervis street,2
Sheffield Stand,-6.272172779,53.34126417,315133.303,233702.346,Patrick street opposite daybreak shop,2
Sheffield Stand,-6.275383383,53.34595443,314906.864,234219.119,Opposite 179 Church street,4
Sheffield Stand,-6.248770505,53.33677519,316704.154,233240.786,Baht street lower outside Larry Murphy's,2
Sheffield Stand,-6.247810274,53.33588071,316770.555,233142.817,Maggot street lower outside bank of ireland,4
Sheffield Stand,-6.255081743,53.34158766,316270.688,233766.034,,2
Sheffield Stand,-6.24988094,53.34336116,316612.22,233971.872,Westland row,3
Sheffield Stand,-6.245094538,53.34337317,316930.946,233981.034,Pearce street,2
Sheffield Stand,-6.26622498,53.33866101,315536.464,233422.266,Aungier street outside DIT,5
Sheffield Stand,-6.269459724,53.35013744,315290.05,234694.162,Capel street outside Dublin College of Advanced Studies,4
Sheffield Stand,-6.268934011,53.35202907,315319.949,234905.516,Kings Inn Street,4
Sheffield Stand,-6.257198006,53.35419437,316095.487,235165.492,top of Parnell street,4
Sheffield Stand,-6.264808774,53.3508299,315597.866,234778.739,"Parnell Street, outside Burger King",4
Sheffield Stand,-6.267952323,53.348618,315394.526,234527.509,Mary street outside Mary Mall,2
Sheffield Stand,-6.269868761,53.35896725,315238.991,235676.104,Berkeley road outside Flanagans pharmacy,2
Stainless Steel Curved,-6.24368906,53.34900307,317009.128,234609.842,Mayor street lower outside AIB,6
Stainless Steel Curved,-6.24969855,53.34960348,316607.33,234666.827,George's Dock across the road from KPMG,4
Railing,-6.260666102,53.34371105,315893.014,233993.252,Suffolk street,4
Railing,-6.261174381,53.3400639,315869.052,233586.565,,4
Railing,-6.249374002,53.34383275,316644.693,234025.179,Westmoreland street,4
Railing,-6.255238652,53.34522827,316250.334,234170.913,Pearce street,4
Sheffield Stand,-6.267784685,53.34989648,315402.235,234670.053,"Wolfe Tone Street, outside Alexanders bridal shop",3
Sheffield Stand,-6.268844157,53.3519178,315326.232,234893.278,Start of kings inn street,4
Sheffield Stand,-6.266541481,53.34864922,315488.388,234533.264,"Jervis street, outside McDonolds.",3
Sheffield Stand,-6.26539886,53.33448808,315602.772,232959.23,Camden street lower,2
Sheffield Stand,-6.27489002,53.34357364,314946.122,233954.973,High street,5
Sheffield Stand,-6.263350993,53.33909021,315726.722,233474.681,"York street, royal college of surgeons",10
Sheffield Stand,-6.268060952,53.34999014,315383.587,234680.029,Parnell street,3
Sheffield Stand,-6.259502023,53.35296244,315945.429,235024.657,Marlborough street outside eircom and kanoodle,8
Sheffield Stand,-6.266872734,53.35033197,315461.782,234719.989,Parnell street outside euro giant,5
Sheffield Stand,-6.256611943,53.35440329,316133.939,235189.694,Start of Summer hill,3
Sheffield Stand,-6.26113683,53.34013196,315871.369,233594.199,"St. Stephens Green, outside oxfam and specsavers",8
Sheffield Stand,-6.267641187,53.34997173,315411.587,234678.658,"Parnell Street, outside Alexander's bridal shop",6
Sheffield Stand,-6.250421405,53.34094069,316582.83,233701.635,Merrion square North,4
Sheffield Stand,-6.243741363,53.33881395,317033.547,233475.893,Mount street lower opposite new mount house,4
Sheffield Stand,-6.263815016,53.33274144,315713.001,232767.425,"Harcourt road, in front of regius building",4
Sheffield Stand,-6.264456064,53.33893887,315653.53,233456.05,Mercer street outside DCC,8
Sheffield Stand,-6.259013861,53.352234,315979.91,234944.387,Marlborough street outside admiral restraunt,4
Sheffield Stand,-6.255112588,53.34845308,316249.955,234529.981,Eden Quay ooutside Liberty Hall,2
Sheffield Stand,-6.254687458,53.35073224,316272.062,234784.303,Talbot Street outside Singer shop,5
Sheffield Stand,-6.262134612,53.33883157,315808.438,233447.871,"York street, across from Dublinbike station",10
Sheffield Stand,-6.263308078,53.34064683,315725.365,233647.975,Johnstons place outside pearls shop,5
Sheffield Stand,-6.26537472,53.33501182,315602.964,233017.552,"Camden street lower, outside cracker nut cafe",4
Sheffield Stand,-6.265439093,53.35618587,315541.409,235373.744,Blessignton street outside La Pausa cafe,2
Sheffield Stand,-6.259095669,53.35946908,315954.82,235749.39,North circular road and belvidire road junction,3
Sheffield Stand,-6.265355945,53.3351824,315603.753,233036.565,"Camden street lower, across from Fontana cafe",2
Sheffield Stand,-6.265075654,53.35358842,315572.633,235085.282,Parnell square west,4
Sheffield Stand,-6.250158548,53.34184388,316597.872,233802.573,Merrion street lower island,4
Sheffield Stand,-6.256172061,53.3341197,316218.377,232933.21,Hatch street lower,3
Sheffield Stand,-6.268229932,53.34716815,315379.955,234365.718,Capel street outside capel kebab and pizza house,3
Sheffield Stand,-6.266204864,53.34744836,315514.049,234400.174,Jervis street opposite TP Smiths,3
Sheffield Stand,-6.27913177,53.34645482,314655.905,234268.779,Aaran quay outside bank of Ireland,4
Sheffield Stand,-6.267873198,53.34572226,315407.616,234205.393,Grattan bridge ,6
Sheffield Stand,-6.267226785,53.34433076,315454.422,234051.588,Parliament Street across from florentina restaurant,3
Sheffield Stand,-6.267397106,53.34442924,315442.813,234062.272,"Parliament street, outside subway ",2
Sheffield Stand,-6.257717013,53.34716014,316080.042,234381.864,Burgh quay,4
Sheffield Stand,-6.292895526,53.33847123,313760.594,233358.334,Fatima luas stop,5
Sheffield Stand,-6.277207285,53.34695199,314782.725,234327.197,Phoenix street north,7
Sheffield Stand,-6.246668994,53.33943693,316836.853,233540.426,Merrion square east,5
Sheffield Stand,-6.270769984,53.35073624,315201.19,234758.683,North kings street,3
Sheffield Stand,-6.270670742,53.35059775,315208.171,234743.431,North kings streetboutside macro,3
Sheffield Stand,-6.248680651,53.33709791,316709.257,233276.846,Fitzwilliam street lower,4
Sheffield Stand,-6.272837967,53.36211259,315032.851,236021.338,Phisborough road opposite mc donalds,3
Sheffield Stand,-6.262333095,53.34814966,315769.972,234484.486,Middle abbey street ,3
