stand_type,easting,northing,long,lat,stand_numbers
Sheffield Stand,318106.414,234502.185,-6.227255782056404,53.34779326636702,4
Sheffield Stand,315620.753,232932.916,-6.265133791780888,53.334248439303025,1
Sheffield Stand,316615.57,234148.652,-6.2497608135882246,53.344948684334575,2
Sheffield Stand,316520.2,234543.281,-6.251046948776474,53.34851376066773,1
Sheffield Stand,317119.98,233940.217,-6.242268049500275,53.342965466086866,3
Sheffield Stand,315786.687,234487.924,-6.262076180033214,53.348177511686664,2
Sheffield Stand,316463.739,234911.2,-6.251759096280343,53.35183038824942,3
Sheffield Stand,315358.411,235444.966,-6.268155451509455,53.35686606014675,3
Sheffield Stand,315618.97,235130.706,-6.264358773230771,53.35398689210302,4
Sheffield Stand,315774.891,233812.603,-6.262499929758751,53.34211513032229,2
Sheffield Stand,315163.824,234737.276,-6.271333818825526,53.350552747298174,2
Sheffield Stand,316894.837,233032.088,-6.245981508860921,53.33485949428922,2
Railing,315767.401,233319.904,-6.262792253124854,53.337691904134196,5
Sheffield Stand,316025.458,235133.756,-6.258256061753603,53.35392535318028,2
Sheffield Stand,315619.703,234795.672,-6.264470055271953,53.35097784041829,2
Sheffield Stand,315924.719,235075.225,-6.259789625227577,53.35342176469555,2
Sheffield Stand,315589.64,233161.236,-6.265517372123128,53.33630574442201,2
Sheffield Stand,315651.544,234011.802,-6.264278237033014,53.34393105893704,6
Sheffield Stand,316451.114,232813.702,-6.252719205169703,53.33299592978805,2
Sheffield Stand,315337.504,234509.634,-6.26880985843904,53.348470516771506,1
Railing,316580.261,233740.801,-6.250440720378566,53.34129362943277,4
Railing,316047.035,232877.843,-6.258758185054433,53.333660632973505,4
Sheffield Stand,316095.659,234551.083,-6.257415842551027,53.348677080423464,3
Sheffield Stand,316610.552,234958.029,-6.249538241575456,53.35221863424382,3
Sheffield Stand,315961.665,235721.484,-6.258998422749233,53.35921761145539,2
Sheffield Stand,315355.344,234985.97,-6.268368662188093,53.35274454539274,2
Sheffield Stand,316427.523,234890.525,-6.252310286193522,53.3516526755383,3
Sheffield Stand,315337.357,234987.138,-6.268638224516969,53.35275895386748,2
Sheffield Stand,315839.483,234987.223,-6.261101227759064,53.35265009002243,2
Sheffield Stand,316103.055,235155.605,-6.257083284979433,53.35410456311804,2
Sheffield Stand,315850.231,233485.98,-6.261488718266483,53.339165301197355,5
Sheffield Stand,316261.885,234363.663,-6.254989787506379,53.34695742431006,4
Sheffield Stand,317993.936,234573.204,-6.228917415517403,53.348456141465064,6
Sheffield Stand,315988.079,235484.708,-6.258688612699584,53.357085381673365,5
Sheffield Stand,315707.538,233917.86,-6.26347222983447,53.34307514795305,1
Sheffield Stand,315470.295,233684.928,-6.267117329275489,53.34103499149073,6
Sheffield Stand,315639.072,233951.41,-6.264487439309472,53.34339140978517,4
Sheffield Stand,315727.351,233918.966,-6.263174497987224,53.343080751773904,2
Sheffield Stand,315523.457,234362.337,-6.266072660211446,53.34710712497461,2
Sheffield Stand,315133.303,233702.346,-6.272167925432712,53.34126478175737,2
Sheffield Stand,314906.864,234219.119,-6.275378551721213,53.34595505302733,4
Sheffield Stand,316704.154,233240.786,-6.248765650355662,53.33677581048051,2
Sheffield Stand,316770.555,233142.817,-6.247805423456592,53.33588133780714,4
Sheffield Stand,316270.688,233766.034,-6.255076922375681,53.34158829190179,2
Sheffield Stand,316612.22,233971.872,-6.249876132727283,53.34336179661686,3
Sheffield Stand,316930.946,233981.034,-6.245089734709762,53.34337380387573,2
Sheffield Stand,315536.464,233422.266,-6.266220123995724,53.33866162537248,5
Sheffield Stand,315290.05,234694.162,-6.269454932753881,53.350138075472145,4
Sheffield Stand,315319.949,234905.516,-6.268929235368804,53.352029708893504,4
Sheffield Stand,316095.487,235165.492,-6.257193260850793,53.354195016140096,4
Sheffield Stand,315597.866,234778.739,-6.264803996405934,53.35083053566686,4
Sheffield Stand,315394.526,234527.509,-6.2679475253782915,53.34861862642293,2
Sheffield Stand,315238.991,235676.104,-6.2698640246230495,53.35896789210314,2
Stainless Steel Curved,317009.128,234609.842,-6.24368430305975,53.349003713693506,6
Stainless Steel Curved,316607.33,234666.827,-6.2496937874667005,53.3496041209422,4
Railing,315893.014,233993.252,-6.260661280111158,53.343711677936255,4
Railing,315869.052,233586.565,-6.2611695394232,53.340064524125886,4
Railing,316644.693,234025.179,-6.24936920131906,53.34383338484527,4
Railing,316250.334,234170.913,-6.25523385400387,53.345228907131066,4
Sheffield Stand,315402.235,234670.053,-6.267779903762615,53.34989711628035,3
Sheffield Stand,315326.232,234893.278,-6.268839383448678,53.351918432368834,4
Sheffield Stand,315488.388,234533.264,-6.2665366821936335,53.348649847897164,3
Sheffield Stand,315602.772,232959.23,-6.265393979488411,53.33448868624484,2
Sheffield Stand,314946.122,233954.973,-6.274885180136551,53.34357426021315,5
Sheffield Stand,315726.722,233474.681,-6.263346137295734,53.339090825033345,10
Sheffield Stand,315383.587,234680.029,-6.268056161165933,53.34999077354203,3
Sheffield Stand,315945.429,235024.657,-6.259497271243927,53.35296308687358,8
Sheffield Stand,315461.782,234719.989,-6.266867955755786,53.35033260324489,5
Sheffield Stand,316133.939,235189.694,-6.256607200730067,53.35440393606143,3
Sheffield Stand,315871.369,233594.199,-6.261131981006729,53.34013257713044,8
Sheffield Stand,315411.587,234678.658,-6.2676364036166134,53.34997235832608,6
Sheffield Stand,316582.83,233701.635,-6.250416574572426,53.34094132176434,4
Sheffield Stand,317033.547,233475.893,-6.2437365359387975,53.338814584589144,4
Sheffield Stand,315713.001,232767.425,-6.263810120746305,53.33274204410335,4
Sheffield Stand,315653.53,233456.05,-6.264451203586181,53.33893948825692,8
Sheffield Stand,315979.91,234944.387,-6.259009095543843,53.35223464322097,4
Sheffield Stand,316249.955,234529.981,-6.255107814852698,53.34845371504521,2
Sheffield Stand,316272.062,234784.303,-6.254682688023589,53.35073287942448,5
Sheffield Stand,315808.438,233447.871,-6.262129757047611,53.33883218849054,10
Sheffield Stand,315725.365,233647.975,-6.263303238476975,53.34064745212996,5
Sheffield Stand,315602.964,233017.552,-6.265369837333495,53.335012427579144,4
Sheffield Stand,315541.409,235373.744,-6.265434346730889,53.356186514467076,2
Sheffield Stand,315954.82,235749.39,-6.25909096310684,53.359469729762125,3
Sheffield Stand,315603.753,233036.565,-6.265351067824873,53.3351830089802,2
Sheffield Stand,315572.633,235085.282,-6.2650708914784,53.35358906341281,4
Sheffield Stand,316597.872,233802.573,-6.250153727780469,53.34184451497296,4
Sheffield Stand,316218.377,232933.21,-6.256167189329433,53.33412031668855,3
Sheffield Stand,315379.955,234365.718,-6.268225130969486,53.34716877618497,3
Sheffield Stand,315514.049,234400.174,-6.266200063617764,53.34744898654523,3
Sheffield Stand,314655.905,234268.779,-6.2791269379214905,53.346455441307306,4
Sheffield Stand,315407.616,234205.393,-6.2678683784189095,53.34572288887103,6
Sheffield Stand,315454.422,234051.588,-6.2672219615262685,53.34433138229994,3
Sheffield Stand,315442.813,234062.272,-6.267392288241759,53.344429864746786,2
Sheffield Stand,316080.042,234381.864,-6.257712225023957,53.347160777294214,4
Sheffield Stand,313760.594,233358.334,-6.292890634810538,53.3384718247667,5
Sheffield Stand,314782.725,234327.197,-6.277202461145828,53.346952615218214,7
Sheffield Stand,316836.853,233540.426,-6.2466641624397585,53.339437563877055,5
Sheffield Stand,315201.19,234758.683,-6.27076519332872,53.35073687246519,3
Sheffield Stand,315208.171,234743.431,-6.270665958708792,53.35059837701154,3
Sheffield Stand,316709.257,233276.846,-6.248675809668035,53.33709853398567,4
Sheffield Stand,315032.851,236021.338,-6.272833245649072,53.36211323786089,3
Sheffield Stand,315769.972,234484.486,-6.262328303223755,53.348150290238166,3
Sheffield Stand,315748.875,234466.501,-6.262651507337416,53.34799338168063,4
Sheffield Stand,315872.375,234491.795,-6.260788717126107,53.34819353266148,4
Sheffield Stand,316173.002,233473.523,-6.256650008813978,53.33898273432182,8
Sheffield Stand,316274.198,233750.427,-6.255029975796287,53.34144735759552,3
Sheffield Stand,316018.807,234595.293,-6.25855309818279,53.3490909674077,2
Sheffield Stand,316082.686,233731.752,-6.257910662183377,53.34132164880325,6
Sheffield Stand,316455.475,233800.154,-6.2522914531383185,53.3418541194156,4
Sheffield Stand,316994.256,233285.541,-6.244396341969892,53.33711375471484,6
Sheffield Stand,316937.438,233524.352,-6.24516078399341,53.33927101038816,3
Sheffield Stand,316350.291,234413.607,-6.253644651518467,53.34738654482056,2
Stainless Steel Curved,317356.514,233952.022,-6.238714134840791,53.343019123681216,5
Stainless Steel Curved,317364.508,233993.854,-6.23857868273766,53.34339303476559,4
Stainless Steel Curved,317517.864,234167.385,-6.236212983493218,53.34491746339772,4
Stainless Steel Curved,317052.491,234459.99,-6.243088842431728,53.34764834491976,4
Stainless Steel Curved,317160.739,234302.639,-6.24152241844689,53.346211275038584,4
Sheffield Stand,316432.892,233788.1,-6.25263476588359,53.341750829687925,3
Sheffield Stand,315968.012,234985.276,-6.2591727142420766,53.35260446662991,5
Railing,317232.711,233369.431,-6.2407874381530295,53.337814433024114,4
Sheffield Stand,315602.924,232997.132,-6.265377881728348,53.33482904662242,5
Sheffield Stand,316843.026,235296.554,-6.245923979809174,53.355207593535354,4
Sheffield Stand,316691.315,235085.778,-6.248278944133906,53.35334812510539,4
Sheffield Stand,315275.722,234828.143,-6.269621233757715,53.351344462638544,7
Sheffield Stand,316261.203,234592.566,-6.254916034210448,53.34901330982391,4
Sheffield Stand,316273.323,234776.579,-6.254666596086726,53.35066323472316,6
Sheffield Stand,315984.307,235112.062,-6.258881702130397,53.35373954024692,4
Sheffield Stand,315919.365,233575.754,-6.260418514096296,53.33995642345071,10
Sheffield Stand,315452.63,234681.081,-6.26701949942152,53.349985171221554,5
Sheffield Stand,315594.326,233196.481,-6.2654342127008755,53.3366212531658,2
Sheffield Stand,315548.689,233493.0,-6.266010904912738,53.339294212501365,5
Sheffield Stand,315950.504,234959.445,-6.259444964934984,53.35237631749241,4
Sheffield Stand,315951.185,234946.182,-6.259439597880413,53.352257055585504,9
Sheffield Stand,315603.448,232931.425,-6.265393973171078,53.334238825183654,5
Sheffield Stand,315783.638,233813.084,-6.262368493339673,53.34211753799815,8
Sheffield Stand,315665.497,234830.478,-6.263770002574463,53.351280425921324,6
Sheffield Stand,316128.101,233171.05,-6.257434545930289,53.33627611749484,4
Sheffield Stand,316478.602,233249.882,-6.2521465833520695,53.33690714258913,4
Sheffield Stand,315942.348,234539.141,-6.2597212035251415,53.34860342285733,4
Sheffield Stand,315005.336,232703.719,-6.274450433584018,53.332323989164934,3
Sheffield Stand,315498.21,234139.928,-6.266532632456284,53.34511520502706,3
Sheffield Stand,315064.105,233470.644,-6.2732904228419155,53.339198923300415,4
Sheffield Stand,315921.787,234070.356,-6.260201284514221,53.34439784000484,13
Sheffield Stand,315076.477,234709.847,-6.2726548090920655,53.350325401685744,5
Sheffield Stand,316402.783,232739.484,-6.253471560026501,53.33234001126544,4
Sheffield Stand,316581.544,233097.698,-6.250657948823948,53.33551776143721,4
Sheffield Stand,315832.581,234496.708,-6.261384169143603,53.3482463620561,10
Sheffield Stand,315705.252,234456.169,-6.26330999339922,53.34791012531379,5
Sheffield Stand,317204.157,233541.615,-6.241152227917022,53.33936709554147,4
Sheffield Stand,317007.641,233489.878,-6.244120095654081,53.33894590392545,6
Sheffield Stand,316029.285,234341.669,-6.258488709626661,53.34681091669445,5
Sheffield Stand,316391.857,234869.239,-6.252853440777803,53.35146935206087,2
